County Name,Customers Tracked,Customers Out,Outage Percentage,Utility Provider,Last Updated,Utility Provider 1,Customers Tracked Utility 1,Customes Out Utility 1
Alachua,"134,265",64,0.05%,Central Florida Electric Cooperative,2024-10-06 06:37:04 PM,Central Florida Electric Cooperative,942,2
Baker,"12,700",1,0.01%,Clay Electric Coop,2024-10-06 06:37:04 PM,Clay Electric Coop,"2,904",0
Bay,"129,849",3,0%,Duke Energy,2024-10-06 06:37:03 PM,Duke Energy,"2,191",0
Bradford,"10,677",69,0.65%,Clay Electric Coop,2024-10-06 06:37:04 PM,Clay Electric Coop,"6,403",69
Brevard,"354,449",255,0.07%,Duke Energy,2024-10-06 06:37:04 PM,Duke Energy,1,0
Broward,"862,726",29,0%,Florida Power & Light Company,2024-10-06 06:37:04 PM,Florida Power & Light Company,"862,719",29
Calhoun,"5,650",0,0%,Florida Public Utilities,2024-10-06 06:36:56 PM,Florida Public Utilities,891,0
Charlotte,"139,996",184,0.13%,Florida Power & Light Company,2024-10-06 06:37:04 PM,Florida Power & Light Company,"139,123",184
Citrus,"96,695",0,0%,Duke Energy,2024-10-06 06:37:07 PM,Duke Energy,"52,068",0
Clay,"100,282",4,0%,Clay Electric Coop,2024-10-06 06:37:04 PM,Clay Electric Coop,"91,320",4
Collier,"279,214",90,0.03%,Florida Power & Light Company,2024-10-06 06:37:04 PM,Florida Power & Light Company,"240,130",90
Columbia,"36,035",12,0.03%,Clay Electric Coop,2024-10-06 06:37:04 PM,Clay Electric Coop,"18,494",0
Desoto,"6,694",0,0%,Florida Power & Light Company,2024-10-06 06:37:04 PM,Florida Power & Light Company,"5,630",0
Dixie,"10,543",23,0.22%,Central Florida Electric Cooperative,2024-10-06 06:36:55 PM,Central Florida Electric Cooperative,"8,077",2
Duval,"500,240",47,0.01%,Clay Electric Coop,2024-10-06 06:37:04 PM,Clay Electric Coop,7,0
Escambia,"170,882",0,0%,Escambia River Electric Coop,2024-10-06 06:37:03 PM,Escambia River Electric Coop,"4,265",0
Flagler,"73,945",51,0.07%,Clay Electric Coop,2024-10-06 06:37:04 PM,Clay Electric Coop,3,0
Franklin,"11,363",0,0%,Duke Energy,2024-10-06 06:35:15 PM,Duke Energy,"11,363",0
Gadsden,"15,467",0,0%,City of Tallahassee,2024-10-06 06:37:01 PM,City of Tallahassee,2,0
Gilchrist,"10,290",3,0.03%,Central Florida Electric Cooperative,2024-10-06 06:37:04 PM,Central Florida Electric Cooperative,"8,447",3
Glades,"7,203",0,0%,Florida Power & Light Company,2024-10-06 06:37:04 PM,Florida Power & Light Company,"3,938",0
Gulf,"12,544",0,0%,Duke Energy,2024-10-06 06:36:56 PM,Duke Energy,"8,018",0
Hamilton,"7,073",17,0.24%,Duke Energy,2024-10-06 06:36:55 PM,Duke Energy,"2,882",0
Hardee,"9,644",0,0%,Duke Energy,2024-10-06 06:37:04 PM,Duke Energy,10,0
Hendry,"17,413",5,0.03%,Florida Power & Light Company,2024-10-06 06:37:04 PM,Florida Power & Light Company,"12,157",5
Hernando,"105,591",0,0%,Duke Energy,2024-10-06 06:37:07 PM,Duke Energy,"13,605",0
Highlands,"65,822",0,0%,Duke Energy,2024-10-06 06:37:04 PM,Duke Energy,"57,079",0
Hillsborough,"673,554",30,0%,Duke Energy,2024-10-06 06:37:04 PM,Duke Energy,28,0
Holmes,"10,807",0,0%,Choctawhatchee Electric Coop,2024-10-06 06:37:03 PM,Choctawhatchee Electric Coop,301,0
Indian River,"26,413",4,0.02%,Florida Power & Light Company,2024-10-06 06:37:04 PM,Florida Power & Light Company,"26,183",4
Jackson,"26,241",0,0%,Florida Power & Light Company,2024-10-06 06:37:03 PM,Florida Power & Light Company,"1,414",0
Jefferson,"8,782",0,0%,Colquitt EMC,2024-10-06 06:36:55 PM,Colquitt EMC,1,0
Lafayette,"4,483",119,2.65%,Central Florida Electric Cooperative,2024-10-06 06:36:55 PM,Central Florida Electric Cooperative,0,0
Lake,"182,972",1,0%,Clay Electric Coop,2024-10-06 06:37:07 PM,Clay Electric Coop,"2,281",0
Lee,"507,531",114,0.02%,Florida Power & Light Company,2024-10-06 06:37:04 PM,Florida Power & Light Company,"296,960",108
Leon,"131,621",11,0.01%,City of Tallahassee,2024-10-06 06:37:01 PM,City of Tallahassee,"105,437",0
Levy,"25,848",0,0%,Central Florida Electric Cooperative,2024-10-06 06:37:07 PM,Central Florida Electric Cooperative,"19,177",0
Liberty,"4,231",0,0%,Duke Energy,2024-10-06 06:37:01 PM,Duke Energy,1,0
Madison,"11,507",1,0.01%,Duke Energy,2024-10-06 06:36:55 PM,Duke Energy,"3,905",0
