County Name,Total Customers Tracked,Total Customers Out,Outage Percentage,Last Updated,Utility Provider,Utility Customers Tracked,Utility Customers Out
Alachua,"134,265",72,0.05%,2024-10-06 06:57:43 PM,Central Florida Electric Cooperative,942,4
Alachua,"134,265",72,0.05%,2024-10-06 06:57:43 PM,Clay Electric Coop,"26,049",56
Alachua,"134,265",72,0.05%,2024-10-06 06:57:43 PM,Duke Energy,"5,403",12
Alachua,"134,265",72,0.05%,2024-10-06 06:57:43 PM,Florida Power & Light Company,"1,271",0
Alachua,"134,265",72,0.05%,2024-10-06 06:57:43 PM,Gainesville Regional Utilities,"100,600",0
Baker,"12,700",1,0.01%,2024-10-06 06:57:43 PM,Clay Electric Coop,"2,904",0
Baker,"12,700",1,0.01%,2024-10-06 06:57:43 PM,Florida Power & Light Company,"5,865",0
Baker,"12,700",1,0.01%,2024-10-06 06:57:43 PM,Okefenoke REMC,"3,931",1
Bay,"129,849",3,0%,2024-10-06 06:57:41 PM,Duke Energy,"2,191",0
Bay,"129,849",3,0%,2024-10-06 06:57:41 PM,Florida Power & Light Company,"115,032",3
Bay,"129,849",3,0%,2024-10-06 06:57:41 PM,Gulf Coast Electric Coop,"12,626",0
Bradford,"10,677",0,0%,2024-10-06 06:57:43 PM,Clay Electric Coop,"6,403",0
Bradford,"10,677",0,0%,2024-10-06 06:57:43 PM,Florida Power & Light Company,"4,274",0
Brevard,"354,449",83,0.02%,2024-10-06 06:57:42 PM,Duke Energy,1,0
Brevard,"354,449",83,0.02%,2024-10-06 06:57:42 PM,Florida Power & Light Company,"354,392",83
Brevard,"354,449",83,0.02%,2024-10-06 06:57:42 PM,Orlando Utilities Commission,0,0
Brevard,"354,449",83,0.02%,2024-10-06 06:57:42 PM,Peace River Electric Coop,56,0
Broward,"862,726",35,0%,2024-10-06 06:57:42 PM,Florida Power & Light Company,"862,719",35
Broward,"862,726",35,0%,2024-10-06 06:57:42 PM,Lee County Electric Coop,7,0
Calhoun,"5,650",0,0%,2024-10-06 06:57:34 PM,Florida Public Utilities,891,0
Calhoun,"5,650",0,0%,2024-10-06 06:57:34 PM,Gulf Coast Electric Coop,"1,927",0
Calhoun,"5,650",0,0%,2024-10-06 06:57:34 PM,West Florida Electric,"2,832",0
Charlotte,"139,996",42,0.03%,2024-10-06 06:57:42 PM,Florida Power & Light Company,"139,123",42
Charlotte,"139,996",42,0.03%,2024-10-06 06:57:42 PM,Lee County Electric Coop,873,0
Citrus,"96,695",2,0%,2024-10-06 06:57:45 PM,Duke Energy,"52,068",0
